Name,Size,Type,Environment
Adult Black Dragon Lich (A5E),Huge,Undead,Swamp
Adult Black Dragon Spellcaster (A5E),Gargantuan,Dragon,"swamps, ruins"
Adult Blue Dracolich,Huge,Undead,"desert, dungeon"
Adult Blue Dragon,Huge,Dragon,desert
Adult Blue Dragon (A5E),Huge,Dragon,Desert
Adult Blue Dragon Spellcaster (A5E),Huge,Dragon,"caves, coastal, desert, oasis"
Adult Boreal Dragon,Huge,Dragon,
Adult Brass Dragon,Huge,Dragon,"cave, underground",M1LTzTrt4BVOIr
Adult Brass Dragon (A5E),Huge,Dragon,Desert
Adult Brass Dragon Spellcaster (A5E),Huge,Dragon,caves
Adult Bronze Dragon,Huge,Dragon,coast
Adult Bronze Dragon (A5E),Huge,Dragon,Water
Adult Bronze Dragon Spellcaster (A5E),Huge,Dragon,"caves, aquatic, coastal"
Adult Cave Dragon,Huge,Dragon,"ruins,underground"
Adult Copper Dragon,Huge,Dragon,"cave, desert, grassland"
Adult Copper Dragon (A5E),Huge,Dragon,"Hills, Mountains"
Adult Copper Dragon Spellcaster (A5E),Huge,Dragon (Shapechanger),mountains
Adult Earth Dragon (A5E),Huge,Dragon,"Desert, Hills, Mountains"
Adult Earth Dragon Spellcaster (A5E),Gargantuan,Dragon,"mountains, hills, deserts"
Adult Emerald Dragon (A5E),Huge,Dragon,"Caverns, Ruin, Sewer"
Adult Emerald Dragon Spellcaster (A5E),Huge,Dragon,
Adult Flame Dragon,Huge,Dragon,mountains
Adult Gold Dragon,Huge,Dragon,"mountain, ruins"
Adult Gold Dragon (A5E),Huge,Dragon,"Astral Plane, Grassland, Ruin, Water"
Adult Gold Dragon Spellcaster (A5E),Huge,Dragon (Shapechanger),ruins
Adult Green Dragon,Huge,Dragon,forest
Adult Green Dragon (A5E),Huge,Dragon,"Forest, Jungle"
Adult Green Dragon Spellcaster (A5E),Huge,Dragon,forests
Adult Imperial Dragon,Huge,Dragon,
Adult Imperial Forest Dragon,Huge,Dragon,forests
Adult Imperial Sea Dragon,Huge,Dragon,"aquatic, coastal"
Adult Imperial Sky Dragon,Huge,Dragon,
Adult Imperial Sovereign Dragon,Huge,Dragon,
Adult Imperial Underworld Dragon,Huge,Dragon,"underground, volcano, cave"
Adult Leucrotta,Large,Monstrosity,forest
Adult Light Dragon,Huge,Dragon,
Adult Mithral Dragon,Huge,Dragon,mountains
Adult Red Dragon,Huge,Dragon,mountain
Adult Red Dragon (A5E),Huge,Dragon,Mountains
Adult Red Dragon Spellcaster (A5E),Huge,Dragon,"volcano, mountains"
Adult Rime Worm,Large,Elemental,
Adult River Dragon (A5E),Huge,Dragon,"Grassland, Water"
Adult River Dragon Spellcaster (A5E),Huge,Dragon,rivers
Adult Sapphire Dragon (A5E),Huge,Dragon,Caverns
Adult Sapphire Dragon Spellcaster (A5E),Gargantuan,Dragon,
Adult Sea Dragon,Huge,Dragon,aquatic
Adult Shadow Dragon (A5E),Huge,Dragon,"Caverns, Shadowfell",CvV0Yiiamu6h,n7IVXNL4IunT,lZPPbKeFYGmL9tTnh,E4ItX6i2LT,jlePmJWWWoKuD4f,wg953Ad,eM6zMXapT9cVvvO9
Adult Shadow Dragon Spellcaster (A5E),Huge,Dragon,"swamps, ruins"
Adult Silver Dragon,Huge,Dragon,"arctic, mountain"
Adult Silver Dragon (A5E),Huge,Dragon,"Feywild, Mountains",QK,p9BXffWMlOX,unRHd4bjc6hvG,c2r2WN0JR8dg,tt,IIDEEeQIcSHxr45f5djc
Adult Silver Dragon Spellcaster (A5E),Huge,Dragon (Shapechanger),"caves, mountains"
Adult Void Dragon,Huge,Dragon,"badlands,mountains"
Adult Wasteland Dragon,Huge,Dragon,
Adult White Dragon,Huge,Dragon,"arctic, cave, underground",m6sWGNAg5LuRard5pI,opeT6G5bHLtqSahM,fcUlDiXZjjKkXeV,As,hjQoiS,sjTFQToZoSF,aOiqy93wqPe6due,bXIMKwyj1XS
Adult White Dragon (A5E),Huge,Dragon,Tundra
Adult Wind Dragon,Huge,Dragon,"mountains, plains",CLshr5QBycJpjGPsR,YsTHmne,ufgqthaWIF,Yk1mV0
Aeorian Absorber,Large,Monstrosity,
Aeorian Nullifier,Large,Monstrosity,
Aeorian Reverser,Large,Monstrosity,
Aerial Servant,Medium,Fiend,
Aerisi Kalinoth,Medium,Humanoid,
Aerisi Kalinoth (in lair),Medium,Humanoid,
Agathion,Medium,Celestial,planar
Aghoy,Large,Plant,forests
Agnibarra,Small,Monstrosity,
Ahu-Nixta,Large,Aberration,
Ahu-Nixta Cataphract,Large,Aberration,
Ahu-Nixta Drudge,Medium,Aberration,
Ahu-nixta mechanon,M,Construct,"any, planar"
"Ahu-nixta, cataphract",Large,Aberration,
"Ahu-Nixta, Drudge",Medium,Aberration,
Ahuizotl,Small,Monstrosity,
Air Elemental,Large,Elemental,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"
Air Elemental (A5E),Large,Elemental,"Laboratory, Plane of Air",YFkLwPGT1oshwrra0,eagHqJN5qFviVUnQi,YDXEVv1TkgVgsxl9FP,cmVo,744YiDaGW2MwYNL,WigIyKjOVDHGw9M,D,v6Q1GOpnne
Air Elemental Myrmidon,Medium,Elemental,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"
Akaasit,Medium,Construct,
Akanka,M,Fey,"desert, underground, urban"
Akhlut,Large,Beast,
Akkorokamui,G,Celestial,"coastal, underwater",8vA6cIDD4Xxh,L5pv7Ph,icgT,MMXWI,rNqAPVIhB732GOitVIk,bCKzn,MvZV1doRETuEmJv,HF5raAHYPa7,PS4kLVdSxny,Klu8j05pXDnd2U6pGDTS,NLMXLNUsKBkI3Kp2rrs
Aklea (A5E),Gargantuan,Celestial,Astral Plane
"Akyishigal, Demon Lord of Cockroaches",Large,Fiend,
Al-Aeshma,Large,Elemental,
Al-Aeshma Genie,Large,Elemental,
Ala,Medium,Fey,
Alabaster Tree,Huge,Celestial,
Alabroza,S,Monstrosity,farmland
"Alabroza, bloodfiend",S,Fiend,farmland
Alawig,Tiny,Elemental,"plains,forests"
Alazai,L,Elemental,"badlands, desert"
Albino Death Weasel,Large,Beast,
Alchemical Apprentice,Small,Ooze,
Alchemical Golem,Large,Construct,
Alchemical Skunk,Small,Monstrosity,
Alchemist (A5E),Medium,Humanoid,"Desert, Forest, Hills, Jungle, Laboratory, Settlement, Swamp"
Alchemist Archer,Medium,Humanoid,
Alchemy Apprentice Ooze,Small,Ooze,
Alehouse Drake,Tiny,Dragon,urban
Algoid,Medium,Plant,swamp
Algorith,Medium,Construct,
Alhoon,Medium,Undead,underground
Alke,L,Monstrosity,"grassland, hills, mountains",ri2YpaKwerttW,QmY7XRkaarNE22ObhZ,TyBSBrEqlHEq,jbaxlg1wlApI
Alkonost,Small,Monstrosity,
alligator,Medium,Beast,
alligator turtle,Medium,Beast,
Alliumite,Sall,Plant,
"Alliumite, husker",M,Plant,"farmland, grassland"
"Alliumite, rapscallion",S,Plant,"farmland, urban"
Allosaurus,Large,Beast,"coast, grassland, swamp"
Allosaurus (A5E),Huge,Beast,"Grassland, Jungle, Mountains, Swamp",QWiDoxYzOu,eKKl1Us7ZQhJk,ItQo7As6jRJyn0C1r,lZVQWjgKS24TjsimfV
Alnaar,Large,Fiend,
Alp,Small,Fey,
Alpha Fish,Large,Beast,
Alpha Werewolf (A5E),Medium,Humanoid,"Feywild, Forest, Hills, Ruin, Settlement, Shadowfell"
Alpha Yek,Medium,Fiend,
Alpine creeper,H,Plant,"arctic, mountains"
"Alquam, Demon Lord of Night",Huge,Fiend,,M,fAAkS,0e,wt4Z9,xj0KM72uJ5bgz,JVlRztHAfOx,Z3,VI7OJsK9jsvNyQV
Alseid,Medium,Monstrosity,forests
Alseid Grovekeeper,Medium,Monstrosity,
"Alseid, woad warrior",M,Monstrosity,forest,CH6x6Y,z7p2IF5c
Altar Flame Golem,Large,Construct,
Amber Ooze,Large,Ooze,
Ambush Drake,Medium,Dragon,"cave, dungeon, forest, mountain, ruins, swamp, urban",coJz2EMS4Twesmyg,zGz83QMO7LN7T968atLe,1wDTPkHJ0PwRB,BmVRYRF9634,5d0KSJ,uRShr
Amethyst Dragon Wyrmling (A5E),Medium,Dragon,Caverns
Ammut,Large,Celestial,
Amomongo,Medium,Monstrosity,"mountains,caves,forests"
Amphibolt,L,Monstrosity,swamp
Amphiptere,Medium,Beast,forests
Amphoron of Yothri (Juggernaut),Medium,Construct,
Amphoron of Yothri (Warrior),Medium,Construct,
Amphoron of Yothri (Worker),Small,Construct,
Anarch,Small / Medium,Humanoid,
Ancient Aboleth (A5E),Huge,Aberration,"Caverns, Plane of Water, Sewer, Water"
Ancient Amethyst Dragon (A5E),Gargantuan,Dragon,Caverns
Ancient Amethyst Dragon Spellcaster (A5E),Gargantuan,Dragon,
Ancient Black Dragon,Gargantuan,Dragon,swamp
Ancient Black Dragon (A5E),Gargantuan,Dragon,Swamp
Ancient Black Dragon Spellcaster (A5E),Gargantuan,Dragon,"swamps, ruins"
Ancient Blue Dragon,Gargantuan,Dragon,desert
Ancient Blue Dragon (A5E),Gargantuan,Dragon,Desert
Ancient Blue Dragon Spellcaster (A5E),Gargantuan,Dragon,"caves, coastal, desert, oasis",4Fk84gTpbZ8Ro5,c2JCl7IAogfe3XL,w2Wdan9Gh04,EdA,lozN,88jG2wPULPmKodoagLLD
Ancient Boreal Dragon,Gargantuan,Dragon,
Ancient Brass Dragon,Gargantuan,Dragon,"cave, underground",XBCu4,IHQPEvMpD65Sn,TUcUj0,5BDs,SzGW
Ancient Brass Dragon (A5E),Gargantuan,Dragon,Desert
Ancient Brass Dragon Spellcaster (A5E),Gargantuan,Dragon,caves
Ancient Bronze Dragon,Gargantuan,Dragon,coast
Ancient Bronze Dragon (A5E),Gargantuan,Dragon,Water
Ancient Bronze Dragon Spellcaster (A5E),Gargantuan,Dragon,"caves, aquatic, coastal"
Ancient Chronomancer,Medium,Construct,
Ancient Copper Dragon,Gargantuan,Dragon,"cave, desert, grassland"
Ancient Copper Dragon (A5E),Gargantuan,Dragon,"Hills, Mountains",L8Pg,fMmACnj,tiAmAD
Ancient Copper Dragon Spellcaster (A5E),Gargantuan,Dragon (shapechanger),mountains
Ancient Earth Dragon (A5E),Gargantuan,Dragon,"Desert, Hills, Mountains",6oq5vdklxLaOyJUhxLD,Ee,eZgqs6a6iotMOHaqlpD,u1o4qst8N7Bw47UJx1,tiN3Y2RDY,sp3AdN6q9,7Go,tjgvLucBmR
Ancient Earth Dragon Spellcaster (A5E),Gargantuan,Dragon,"mountains, hills, deserts"
Ancient Emerald Dragon (A5E),Gargantuan,Dragon,"Caverns, Ruin, Sewer"
Ancient Emerald Dragon Spellcaster (A5E),Gargantuan,Dragon,
Ancient Flame Dragon,Gargantuan,Dragon,mountains
Ancient Gold Dragon,Gargantuan,Dragon,"mountain, ruins",71KHbPK68lj3Va8rB2Rs,WNhTgKPkwZr8knB2,spHf,B50NbqidNimeQkXy6j,8IMKr4Eg4rZI6IdH,k4,mJus1kQnHS,ILBXeA9lNvPFCuz9H
Ancient Gold Dragon (A5E),Gargantuan,Dragon,"Astral Plane, Grassland, Ruin, Water"
Ancient Gold Dragon Spellcaster (A5E),Gargantuan,Dragon (Shapechanger),ruins
Ancient Green Dragon,Gargantuan,Dragon,forest
Ancient Green Dragon (A5E),Gargantuan,Dragon,"Forest, Jungle"
Ancient Green Dragon Spellcaster (A5E),Gargantuan,Dragon,forests
Ancient Imperial Dragon,Gargantuan,Dragon,
Ancient Light Dragon,Gargantuan,Dragon,
Ancient Mandriano,Huge,Plant,
Ancient Mithral Dragon,Gargantuan,Dragon,mountains
Ancient Red Dragon,Gargantuan,Dragon,mountain
Ancient Red Dragon (A5E),Gargantuan,Dragon,Mountains
Ancient Red Dragon Spellcaster (A5E),Gargantuan,Dragon,"volcano, mountains",d6yVJ0v,m8,jdr7PCFP,52Jl9yHDKvRWJ8ldrCt,7aTEZx,YKLU,Vw7VI9r,ImEDf
Ancient River Dragon (A5E),Gargantuan,Dragon,"Grassland, Water",fe20B4yVtAOdLQHkZQv,MiVuxN0,u,EY7WRZTdlqw0vlJ
Ancient River Dragon Spellcaster (A5E),Gargantuan,Dragon,rivers
Ancient Sapphire Dragon (A5E),Gargantuan,Dragon,Caverns
Ancient Sapphire Dragon Spellcaster (A5E),Gargantuan,Dragon,
Ancient Sea Dragon,Gargantuan,Dragon,aquatic
Ancient Shadow Dragon (A5E),Gargantuan,Dragon,"Caverns, Shadowfell",8Wi7Nps2vjh1S5k8,lIvFo2XyHzyWZ,7q,mH1FDjSU3JkD,5zk5iGhZ4hoMww5brzsK,JP8Mung2,NDpgNgVAvXkWCF
Ancient Shadow Dragon Spellcaster (A5E),Gargantuan,Dragon,"swamps, ruins"
Ancient Silver Dragon,Gargantuan,Dragon,"arctic, mountain",pvPQsVfR6EoyjyyrIIa,nj12mjikndt1cIQw,LO9UUuJWiXafjUq4,wfz6uylx,hzPFoKM
Ancient Silver Dragon (A5E),Gargantuan,Dragon,"Feywild, Mountains"
Ancient Silver Dragon Spellcaster (A5E),Gargantuan,Dragon (Shapechanger),"caves, mountains",5dPu5saFqJfy5FFqbTN,TKvS,TxKT3jR,9t7,RcCZKgJMqhckozH,pEKt97V,BGvdrnIpc6l,fWFDKPDYc,jhdJQsPq,4yTIX76jNX0jbhWXaY
Ancient Titan,Gargantuan,Celestial,
Ancient Void Dragon,Gargantuan,Dragon,"badlands,mountains"
Ancient Wasteland Dragon,Gargantuan,Dragon,
Ancient White Dragon,Gargantuan,Dragon,"arctic, cave, underground"
Ancient White Dragon (A5E),Gargantuan,Dragon,Tundra
Ancient White Dragon Spellcaster (A5E),Gargantuan,Dragon,snow
Ancient Wind Dragon,Gargantuan,Dragon,"mountains,plains"
Andrenjinyi,Gargantuan,Celestial,
Androsphinx,Large,Monstrosity,"dungeon, ruins"
Angatra,Medium,Undead,forests
Angel of Judgement,Huge,Celestial,
Angel of Judgment,Huge,Celestial,
"Angel, archangel hala’ath",H,Celestial,"any, planar"
"Angel, archangel iilari’jil",L,Celestial,"any, planar",WrUwK,kV,hsWKfuEGqpsk2uraDbq
"Angel, Chained",Medium,Celestial,,vXdvjFG,k3MIxwhg,joj,KoudF3XszJOLQGPzwR,MyUrvoTtBsaO,m5jKk,Jwv3XnG44kPUA,mudXs,Hxu9ve70Hv9OD0gK,gHVo7WU4,6KgZy
"Angel, Eye of Gods",Small,Celestial,
"Angel, Fidele",Medium,Celestial,
"Angel, haladron",T,Celestial,"any, planar"
"Angel, kalkydra",H,Celestial,planar
"Angel, Kinnara",Medium,Celestial,
"Angel, Mead Archon",Medium,Celestial,
"Angel, Ophanim",Large,Celestial,
"Angel, pelagic deva",M,Celestial,planar
"Angel, psychopomp",M,Celestial,"any, planar"
"Angel, Sammael",Medium,Celestial,
"Angel, shrouded",M,Celestial,"any, planar"
"Angel, Song",Large,Celestial,
"Angel, Uridimmu",Large,Celestial,
"Angel, zirnitran",H,Celestial,"mountains, planar"
"Angel, Zoryas",Medium,Celestial,
Angelic Enforcer,Large,Celestial,
Angler Worm,Huge,Monstrosity,"ruins,underground"
Angngalo,Gargantuan,Giant,
"Animal lord, mammoth queen",H,Fey,"arctic, grassland, hills"
Animated Armor,Medium,Construct,"dungeon, ruins, urban"
Animated Armor (A5E),Medium,Construct,"Laboratory, Ruin, Temple",EjRUFQ0
Animated Bearskin Rug,Large,Construct,
Animated instrument,T,Construct,"farmland, urban"
"Animated instrument, quartet",L,Construct,
"Animated instrument, symphony",G,Swarm,urban
Animated offal,H,Ooze,any
Animated Table,Large,Construct,
Animators Staff,Small,Construct,"dungeon, ruins, urban"
Animators Wand,Tiny,Construct,"dungeon, ruins, urban"
Aniwye,Large,Monstrosity,
Ankheg,Large,Monstrosity,"coast, forest, grassland, underground",FCYCTT9,8,n8AKLRKcED6OF,4HCfRgk26Hj,oZcpH,m3,npmLBux,0SSji9Gbd4
Ankheg (A5E),Large,Monstrosity,"Desert, Grassland, Hills, Settlement",tsmWiUtgFG4hoH20Es,N3VZ,9,gm3UlmOi2N7JtWBdU,rA7xA0VYvByP,ka631,y2N6yqdWIOEMWxg,Sf7GpMLSotAa,YzZVgeP4zlOE9XPCeu3v
Ankheg Queen (A5E),Huge,Monstrosity,"Desert, Grassland, Hills, Settlement"
Ankheg Spawn (A5E),Medium,Monstrosity,"Desert, Grassland, Hills, Settlement"
Ankou Soul Herald,Gargantuan,Dragon,
Ankou Soul Seeker,Large,Dragon,
Ankylosaurus,Huge,Beast,grassland
Ankylosaurus (A5E),Huge,Beast,"Grassland, Jungle, Mountains, Swamp"
Annis Hag,Large,Fey,"grassland, mountain"
Anophiloi,Small,Monstrosity,
Ant Lion,Large,Beast,desert
Anubian,Medium,Elemental,
Anzu,Large,Monstrosity,
Aoandon,Medium,Undead,
Apau Perape,Large,Fiend,
Apaxrusl,Medium,Construct,
Ape,Medium,Beast,forest
Ape (A5E),Medium,Beast,Jungle
Aphasian abomination,L,Construct,
Apostle,M,Humanoid,"any, urban"
Apprentice Mage (A5E),Medium,Humanoid,"Laboratory, Settlement"
Apprentice Wizard,Medium,Humanoid,urban
Arachnocrat,Medium,Fiend,
Aran,Gargantuan,Giant,
Arbeyach,Large,Fiend,
"Arbeyach's Herald, Ia'affrat",Large Swarm,Elemental,,ka7KwD7wsH81XLQ7,mPexp3z0H509JKuzp,vHJp1F9qWwHDeAcbTY,UaOqtSYuFRENw62,VrVN4IirVOyX6J4H,PshS7V8J0lUdlw,OOX8wCiQtbx8Y
Arborcyte,Large,Plant,
Arboreal Grappler,Medium,Aberration,forests
Arcamag,Tiny,Monstrosity,
Arcanaloth,Medium,Fiend,"dungeon, planar",ZLeJLbHTxcAvH,20IAIGVB,Md,hpgfYRdVpXUR,XhUt5CDfv6D,vtqmWNz,ZW0AJqPiJRXzWRAT8uZ,cfrcdSKSB,DH3MqJYHlbExC
Arcanamite,Small,Monstrosity,
Arcanaphage,Medium,Monstrosity,
Arcane Blademaster (A5E),Medium,Humanoid,"Laboratory, Mountains, Settlement"
Arcane Guardian,Medium,Undead,
Arcane leviathan,G,Construct,underwater
Arcane scavenger,L,Construct,badlands
Arcanoplasm,Large,Monstrosity,underground
"Arch Devil, Poena, Duke of Retribution",Large,Fiend,
"Arch Devil, The Curator",Large,Fiend,,gfn35f21Vw,daAa69K7E3MyCbX4akbl,ssif17IzCi52LQt,J,HJmE02tF4
Arch-Devil Arbeyach,Large,Fiend,
"Arch-Devil, Belphegor",Huge,Fiend,
"Arch-Devil, Parzelon",Huge,Fiend,
Archaeopteryx,Tiny,Beast,
Archdruid,Medium,Humanoid,"forest, mountain, swamp, aquatic"
Archer,Medium,Humanoid,"forest, urban",PkcfpEOPhgze,s,rVePY0a,rb4,xpieYsBtLbY,ucU,Yo9nJIV3Rp89B,UCDqJT4LOlTB,PbqRZyErzAxFSPDSe35
Archfey (A5E),Medium,Fey,"Feywild, Forest, Swamp"
Archmage,Medium,Humanoid,"ruins, urban"
Archmage (A5E),Medium,Humanoid,"Forest, Laboratory, Settlement",wwwdcRo,uDmoeeh4qTHyEh4EILG,znGL,oNCNYnPkmPFdNGZnNd7D
Archon of the Triumvirate,Medium,Celestial,
"Archon, siege",H,Celestial,"planar, urban"
"Archon, ursan",L,Celestial,"any, planar"
"Archon, word",T,Celestial,planar
Archpriest (A5E),Medium,Humanoid,"Settlement, Temple"
arclight Pheonix,Medium,Elemental,
Arenea,Large,Monstrosity,"cave, dungeon, forest"
Aridni,Small,Fey,
Armed Skeleton,Medium,Undead,
Armory Golem,Large,Construct,
Armour Sliver,Large,Monstrosity,
Artificer of Yothri,Medium,Aberration,
Asanbosam,Large,Aberration,forests
Ascetic Grandmaster (A5E),Medium,Humanoid,"Desert, Mountains, Settlement, Temple"
Ascomoid,Large,Plant,underground
Ash Drake,Small,Dragon,"mountains,urban"
Ash Phoenix,Large,Undead,
Ashari Firetamer,Medium,Humanoid,
Ashari Skydancer,Medium,Humanoid,
Ashari Stoneguard,Medium,Humanoid,
Ashari Waverider,Medium,Humanoid,
Ashen Custodian,Medium,Fey,
Asp vine,M,Plant,"badlands, forest"
Aspect of Desire,Medium,Celestial,
Aspect of Poison,Large,Fey,
Aspect of War,Medium,Fiend,
Assassin,Medium,Humanoid,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"
Assassin (A5E),Medium,Humanoid,"Desert, Forest, Settlement, Sewer",d0DreTIZX,T,MPZq,AJvhgt9Bcwi,wOWb0XiNOB,yhKvxyLWa,pRmFxDp5q
Assassin Bug,Medium,Beast,forest
Astral Devourer,Medium Swarm,Aberration,
Astral Moth,Large,Monstrosity,forest
Astral Shark,Large,Fiend,planar
Astral Snapper,Medium,Aberration,
Astralsupial,M,Beast,"forest, swamp"
Astri,Small,Celestial,
"Asura, Aghasura",Huge,Fiend,
"Asura, Tripurasura",Tiny,Fiend,
"Asura, Upasunda",Medium,Fiend,
"Aswang, Balbal",Large,Aswang,
"Aswang, Berbalang",Medium,Aswang,
"Aswang, Boroka",Medium,Aswang,
"Aswang, Gabunan",Medium,Aswang,
"Aswang, Malakat",Medium,Aswang,
"Aswang, Manananggal",Medium,Aswang,
"Aswang, Mandurugo",Medium,Aswang,,ovoifaDLRl0goUPCMDS,4bIXAeHqRAnaSVtK,D8N9346sM4NCZrMdB,qsN2GmKPforjAxvZi,5kWjmf,tBsLqSdRMzjtLcuxFWSK,Z6fGpg2aN2N9XwK,0gGODj0ORn3w274
"Aswang, Mangkukulam",Medium,Aswang,
"Aswang, Wakwak",Small,"Monstrosity, Aswang",
Atavist,M,Humanoid,"any, urban"
Attercroppe,Tiny,Fey,
Atuikakura,Gargantuan,Monstrosity,"aquatic, coastal"
August Rooster,Medium,Monstrosity,
Aural hunter,L,Aberration,"mountains, planar, underground"
Aurelia,Medium,Celestial,
Aurochs,Large,Beast,"grassland, mountain"
Aurora Horribilis,Large,Aberration,
Aurumvorax (Golden Gorger),Small,Monstrosity,"forest, grassland",JHvydd9GNZsVr,OiYpBm0GADbS5wy,65Ou,U73SgzKE
Automata Devil,Large,Fiend,
Avalanche Screamer,Large,Aberration,
Avatar Of Boreas,Medium,Elemental,
Avatar of Shoth,Gargantuan,Aberration,
Avestruzii,M,Humanoid,"grassland, planar"
Avestruzii champion,M,Humanoid,"grassland, planar"
Aviere,Tiny,Celestial,
Avulzor,Large,Aberration,
Awakened Shrub,Small,Plant,"forest, grassland"
Awakened Shrub (A5E),Small,Plant,"Forest, Jungle, Laboratory, Swamp"
Awakened Tree,Huge,Plant,forest
Awakened Tree (A5E),Huge,Plant,"Forest, Jungle, Swamp"
Axe Beak,Large,Beast,grassland
Axe Beak (A5E),Large,Beast,"Forest, Grassland, Swamp"
Azbara Jos,Medium,Humanoid,
Azeban,Medium,Fey,
Azer,Medium,Elemental,"planar, underground"
Azer (A5E),Medium,Elemental,"Caverns, Plane of Fire"
Azer Artisan,Medium,Elemental,"planar, underground"
Azer Forgemaster (A5E),Medium,Elemental,"Caverns, Plane of Fire"
Azer Lord,Medium,Elemental,"planar, underground"
Azi Dahaka,Huge,Dragon,
Aziza,T,Fey,forest
Azure Enchanter,Medium,Humanoid,
Azure Mind Scupltor,Medium,Humanoid,
Azza Gremlin,Small,Fey,"mountains,urban",SeMgqz9
Baba Lysaga,Medium,Humanoid,
Baba Lysaga's Creeping Hut,Gargantuan,Construct,
baba Yaga,medium,Fey,
Baba Yaga's Horsemen - Black Night,Medium,Fey,
Baba Yaga's Horsemen - Bright Day,Medium,Fey,
Baba Yaga's Horsemen - Red Sun,Medium,Fey,
"Baba Yaga's Horsemen, Black Night",Medium,Fey,
"Baba Yaga's Horsemen, Bright Day",Medium,Fey,
"Baba Yaga's Horsemen, Red Sun",Medium,Fey,,FkB0LNsgcSmZSs2y7Mb,1ASWAvV,LM4Tnw,9cja,Gw7VqlKnr,Qabi0XpfT0OW5DO2w,mHK3SYHwW,DUnL
Babau,Medium,Fiend,"underground, urban"
Baboon,Small,Beast,"forest, grassland"
Baboon (A5E),Small,Beast,"Grassland, Jungle"
Backup Holler Spider,Tiny,Beast,
Badger,Tiny,Beast,forest
Badger (A5E),Tiny,Beast,"Forest, Grassland"
Bagiennik,Medium,Aberration,"forests,marshes",YRqiWX,EnkgtcbCLe1G0,Pebr,WZsXQ29gP9OLmJXncDWu,6nW8dPWHJd11yODojJ8q,I8PTct5WBA9CPSne,cwyYXuTl0hpl7KBUDf8,ztSHh23UoKuZosnJQCVV
Bakekujira,Gargantuan,Undead,"coastal, aquatic"
Baleful miasma,M,Elemental,any
Baliri Demon,Medium,Fiend,
Balloon Spider,Medium,Beast,
Balor,Huge,Fiend,"dungeon, planar",qPn2W227B6V0
Balor (A5E),Huge,Fiend,Abyss
Balor General (A5E),Huge,Fiend,Abyss
Balor General Balor Variant (A5E),Huge,Fiend,
Banderhobb,Large,Monstrosity,urban
Bandit,Medium,Humanoid,"arctic, coast, desert, forest, grassland, mountain, ruins, urban"
Bandit (A5E),Medium,Humanoid,"Caverns, Desert, Forest, Grassland, Hills, Jungle, Laboratory, Mountains, Ruin, Settlement, Sewer, Swamp, Tundra"
Bandit Captain,Medium,Humanoid,"arctic, coast, desert, forest, grassland, mountain, ruins, urban"
