Name,Size,Type,Environment
Adult Blue Dragon Spellcaster (A5E),Huge,Dragon,"caves, coastal, desert, oasis"
Adult Boreal Dragon,Huge,Dragon,
Adult Brass Dragon (A5E),Huge,Dragon,Desert
Adult Brass Dragon Spellcaster (A5E),Huge,Dragon,caves
Adult Bronze Dragon,Huge,Dragon,coast
Adult Bronze Dragon (A5E),Huge,Dragon,Water
Adult Bronze Dragon Spellcaster (A5E),Huge,Dragon,"caves, aquatic, coastal"
Adult Cave Dragon,Huge,Dragon,"ruins,underground"
Adult Copper Dragon,Huge,Dragon,"cave, desert, grassland"
Adult Copper Dragon (A5E),Huge,Dragon,"Hills, Mountains"
Adult Copper Dragon Spellcaster (A5E),Huge,Dragon (Shapechanger),mountains
Adult Earth Dragon (A5E),Huge,Dragon,"Desert, Hills, Mountains"
Adult Earth Dragon Spellcaster (A5E),Gargantuan,Dragon,"mountains, hills, deserts"
Adult Emerald Dragon (A5E),Huge,Dragon,"Caverns, Ruin, Sewer"
Adult Emerald Dragon Spellcaster (A5E),Huge,Dragon,
Adult Flame Dragon,Huge,Dragon,mountains
Adult Gold Dragon,Huge,Dragon,"mountain, ruins"
Adult Gold Dragon (A5E),Huge,Dragon,"Astral Plane, Grassland, Ruin, Water"
Adult Gold Dragon Spellcaster (A5E),Huge,Dragon (Shapechanger),ruins
Adult Green Dragon,Huge,Dragon,forest
Adult Green Dragon (A5E),Huge,Dragon,"Forest, Jungle"
Adult Green Dragon Spellcaster (A5E),Huge,Dragon,forests
Adult Imperial Dragon,Huge,Dragon,
Adult Imperial Forest Dragon,Huge,Dragon,forests
Adult Imperial Sea Dragon,Huge,Dragon,"aquatic, coastal"
Adult Imperial Sky Dragon,Huge,Dragon,
Adult Imperial Sovereign Dragon,Huge,Dragon,
Adult Imperial Underworld Dragon,Huge,Dragon,"underground, volcano, cave"
Adult Leucrotta,Large,Monstrosity,forest
Adult Light Dragon,Huge,Dragon,
Adult Mithral Dragon,Huge,Dragon,mountains
Adult Red Dragon,Huge,Dragon,mountain
Adult Red Dragon (A5E),Huge,Dragon,Mountains
Adult Red Dragon Spellcaster (A5E),Huge,Dragon,"volcano, mountains"
Adult Rime Worm,Large,Elemental,
Adult River Dragon (A5E),Huge,Dragon,"Grassland, Water"
Adult River Dragon Spellcaster (A5E),Huge,Dragon,rivers
Adult Sapphire Dragon (A5E),Huge,Dragon,Caverns
Adult Sapphire Dragon Spellcaster (A5E),Gargantuan,Dragon,
Adult Sea Dragon,Huge,Dragon,aquatic
Adult Shadow Dragon Spellcaster (A5E),Huge,Dragon,"swamps, ruins"
Adult Silver Dragon,Huge,Dragon,"arctic, mountain"
Adult Silver Dragon Spellcaster (A5E),Huge,Dragon (Shapechanger),"caves, mountains"
Adult Void Dragon,Huge,Dragon,"badlands,mountains"
Adult Wasteland Dragon,Huge,Dragon,
Adult White Dragon (A5E),Huge,Dragon,Tundra
Aeorian Absorber,Large,Monstrosity,
Aeorian Nullifier,Large,Monstrosity,
Aeorian Reverser,Large,Monstrosity,
Aerial Servant,Medium,Fiend,
Aerisi Kalinoth,Medium,Humanoid,
Aerisi Kalinoth (in lair),Medium,Humanoid,
Agathion,Medium,Celestial,planar
Aghoy,Large,Plant,forests
Agnibarra,Small,Monstrosity,
Ahu-Nixta,Large,Aberration,
Ahu-Nixta Cataphract,Large,Aberration,
Ahu-Nixta Drudge,Medium,Aberration,
Ahu-nixta mechanon,M,Construct,"any, planar"
"Ahu-nixta, cataphract",Large,Aberration,
"Ahu-Nixta, Drudge",Medium,Aberration,
Ahuizotl,Small,Monstrosity,
Air Elemental,Large,Elemental,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"
Air Elemental Myrmidon,Medium,Elemental,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"
Akaasit,Medium,Construct,
Akanka,M,Fey,"desert, underground, urban"
Akhlut,Large,Beast,
Aklea (A5E),Gargantuan,Celestial,Astral Plane
"Akyishigal, Demon Lord of Cockroaches",Large,Fiend,
Al-Aeshma,Large,Elemental,
Al-Aeshma Genie,Large,Elemental,
Ala,Medium,Fey,
Alabaster Tree,Huge,Celestial,
Alabroza,S,Monstrosity,farmland
"Alabroza, bloodfiend",S,Fiend,farmland
Alawig,Tiny,Elemental,"plains,forests"
Alazai,L,Elemental,"badlands, desert"
Albino Death Weasel,Large,Beast,
Alchemical Apprentice,Small,Ooze,
Alchemical Golem,Large,Construct,
Alchemical Skunk,Small,Monstrosity,
Alchemist (A5E),Medium,Humanoid,"Desert, Forest, Hills, Jungle, Laboratory, Settlement, Swamp"
Alchemist Archer,Medium,Humanoid,
Alchemy Apprentice Ooze,Small,Ooze,
Alehouse Drake,Tiny,Dragon,urban
Algoid,Medium,Plant,swamp
Algorith,Medium,Construct,
Alhoon,Medium,Undead,underground
Alkonost,Small,Monstrosity,
alligator,Medium,Beast,
alligator turtle,Medium,Beast,
Alliumite,Sall,Plant,
"Alliumite, husker",M,Plant,"farmland, grassland"
"Alliumite, rapscallion",S,Plant,"farmland, urban"
Allosaurus,Large,Beast,"coast, grassland, swamp"
Alnaar,Large,Fiend,
Alp,Small,Fey,
Alpha Fish,Large,Beast,
Alpha Werewolf (A5E),Medium,Humanoid,"Feywild, Forest, Hills, Ruin, Settlement, Shadowfell"
Alpha Yek,Medium,Fiend,
Alpine creeper,H,Plant,"arctic, mountains"
Alseid,Medium,Monstrosity,forests
Alseid Grovekeeper,Medium,Monstrosity,
Altar Flame Golem,Large,Construct,
Amber Ooze,Large,Ooze,
Amethyst Dragon Wyrmling (A5E),Medium,Dragon,Caverns
Ammut,Large,Celestial,
Amomongo,Medium,Monstrosity,"mountains,caves,forests"
Amphibolt,L,Monstrosity,swamp
Amphiptere,Medium,Beast,forests
Amphoron of Yothri (Juggernaut),Medium,Construct,
Amphoron of Yothri (Warrior),Medium,Construct,
Amphoron of Yothri (Worker),Small,Construct,
Anarch,Small / Medium,Humanoid,
Ancient Aboleth (A5E),Huge,Aberration,"Caverns, Plane of Water, Sewer, Water"
Ancient Amethyst Dragon (A5E),Gargantuan,Dragon,Caverns
Ancient Amethyst Dragon Spellcaster (A5E),Gargantuan,Dragon,
Ancient Black Dragon,Gargantuan,Dragon,swamp
Ancient Black Dragon (A5E),Gargantuan,Dragon,Swamp
Ancient Black Dragon Spellcaster (A5E),Gargantuan,Dragon,"swamps, ruins"
Ancient Blue Dragon,Gargantuan,Dragon,desert
Ancient Blue Dragon (A5E),Gargantuan,Dragon,Desert
Ancient Boreal Dragon,Gargantuan,Dragon,
Ancient Brass Dragon (A5E),Gargantuan,Dragon,Desert
Ancient Brass Dragon Spellcaster (A5E),Gargantuan,Dragon,caves
Ancient Bronze Dragon,Gargantuan,Dragon,coast
Ancient Bronze Dragon (A5E),Gargantuan,Dragon,Water
Ancient Bronze Dragon Spellcaster (A5E),Gargantuan,Dragon,"caves, aquatic, coastal"
Ancient Chronomancer,Medium,Construct,
Ancient Copper Dragon,Gargantuan,Dragon,"cave, desert, grassland"
Ancient Copper Dragon Spellcaster (A5E),Gargantuan,Dragon (shapechanger),mountains
Ancient Earth Dragon Spellcaster (A5E),Gargantuan,Dragon,"mountains, hills, deserts"
Ancient Emerald Dragon (A5E),Gargantuan,Dragon,"Caverns, Ruin, Sewer"
Ancient Emerald Dragon Spellcaster (A5E),Gargantuan,Dragon,
Ancient Flame Dragon,Gargantuan,Dragon,mountains
Ancient Gold Dragon (A5E),Gargantuan,Dragon,"Astral Plane, Grassland, Ruin, Water"
Ancient Gold Dragon Spellcaster (A5E),Gargantuan,Dragon (Shapechanger),ruins
Ancient Green Dragon,Gargantuan,Dragon,forest
Ancient Green Dragon (A5E),Gargantuan,Dragon,"Forest, Jungle"
Ancient Green Dragon Spellcaster (A5E),Gargantuan,Dragon,forests
Ancient Imperial Dragon,Gargantuan,Dragon,
Ancient Light Dragon,Gargantuan,Dragon,
Ancient Mandriano,Huge,Plant,
Ancient Mithral Dragon,Gargantuan,Dragon,mountains
Ancient Red Dragon,Gargantuan,Dragon,mountain
Ancient Red Dragon (A5E),Gargantuan,Dragon,Mountains
Ancient River Dragon Spellcaster (A5E),Gargantuan,Dragon,rivers
Ancient Sapphire Dragon (A5E),Gargantuan,Dragon,Caverns
Ancient Sapphire Dragon Spellcaster (A5E),Gargantuan,Dragon,
Ancient Sea Dragon,Gargantuan,Dragon,aquatic
Ancient Shadow Dragon Spellcaster (A5E),Gargantuan,Dragon,"swamps, ruins"
Ancient Silver Dragon (A5E),Gargantuan,Dragon,"Feywild, Mountains"
Ancient Titan,Gargantuan,Celestial,
Ancient Void Dragon,Gargantuan,Dragon,"badlands,mountains"
Ancient Wasteland Dragon,Gargantuan,Dragon,
Ancient White Dragon,Gargantuan,Dragon,"arctic, cave, underground"
Ancient White Dragon (A5E),Gargantuan,Dragon,Tundra
Ancient White Dragon Spellcaster (A5E),Gargantuan,Dragon,snow
Ancient Wind Dragon,Gargantuan,Dragon,"mountains,plains"
Andrenjinyi,Gargantuan,Celestial,
Androsphinx,Large,Monstrosity,"dungeon, ruins"
Angatra,Medium,Undead,forests
Angel of Judgement,Huge,Celestial,
Angel of Judgment,Huge,Celestial,
"Angel, archangel hala’ath",H,Celestial,"any, planar"
"Angel, Eye of Gods",Small,Celestial,
"Angel, Fidele",Medium,Celestial,
"Angel, haladron",T,Celestial,"any, planar"
"Angel, kalkydra",H,Celestial,planar
"Angel, Kinnara",Medium,Celestial,
"Angel, Mead Archon",Medium,Celestial,
"Angel, Ophanim",Large,Celestial,
"Angel, pelagic deva",M,Celestial,planar
"Angel, psychopomp",M,Celestial,"any, planar"
"Angel, Sammael",Medium,Celestial,
"Angel, shrouded",M,Celestial,"any, planar"
"Angel, Song",Large,Celestial,
"Angel, Uridimmu",Large,Celestial,
"Angel, zirnitran",H,Celestial,"mountains, planar"
"Angel, Zoryas",Medium,Celestial,
Angelic Enforcer,Large,Celestial,
Angler Worm,Huge,Monstrosity,"ruins,underground"
Angngalo,Gargantuan,Giant,
"Animal lord, mammoth queen",H,Fey,"arctic, grassland, hills"
Animated Armor,Medium,Construct,"dungeon, ruins, urban"
Animated Bearskin Rug,Large,Construct,
Animated instrument,T,Construct,"farmland, urban"
"Animated instrument, quartet",L,Construct,
"Animated instrument, symphony",G,Swarm,urban
Animated offal,H,Ooze,any
Animated Table,Large,Construct,
Animators Staff,Small,Construct,"dungeon, ruins, urban"
Animators Wand,Tiny,Construct,"dungeon, ruins, urban"
Aniwye,Large,Monstrosity,
Ankheg Queen (A5E),Huge,Monstrosity,"Desert, Grassland, Hills, Settlement"
Ankheg Spawn (A5E),Medium,Monstrosity,"Desert, Grassland, Hills, Settlement"
Ankou Soul Herald,Gargantuan,Dragon,
Ankou Soul Seeker,Large,Dragon,
Ankylosaurus,Huge,Beast,grassland
Ankylosaurus (A5E),Huge,Beast,"Grassland, Jungle, Mountains, Swamp"
Annis Hag,Large,Fey,"grassland, mountain"
Anophiloi,Small,Monstrosity,
Ant Lion,Large,Beast,desert
Anubian,Medium,Elemental,
Anzu,Large,Monstrosity,
Aoandon,Medium,Undead,
Apau Perape,Large,Fiend,
Apaxrusl,Medium,Construct,
Ape,Medium,Beast,forest
Ape (A5E),Medium,Beast,Jungle
Aphasian abomination,L,Construct,
Apostle,M,Humanoid,"any, urban"
Apprentice Mage (A5E),Medium,Humanoid,"Laboratory, Settlement"
Apprentice Wizard,Medium,Humanoid,urban
Arachnocrat,Medium,Fiend,
Aran,Gargantuan,Giant,
Arbeyach,Large,Fiend,
Arborcyte,Large,Plant,
Arboreal Grappler,Medium,Aberration,forests
Arcamag,Tiny,Monstrosity,
Arcanamite,Small,Monstrosity,
Arcanaphage,Medium,Monstrosity,
Arcane Blademaster (A5E),Medium,Humanoid,"Laboratory, Mountains, Settlement"
Arcane Guardian,Medium,Undead,
Arcane leviathan,G,Construct,underwater
Arcane scavenger,L,Construct,badlands
Arcanoplasm,Large,Monstrosity,underground
"Arch Devil, Poena, Duke of Retribution",Large,Fiend,
Arch-Devil Arbeyach,Large,Fiend,
"Arch-Devil, Belphegor",Huge,Fiend,
"Arch-Devil, Parzelon",Huge,Fiend,
Archaeopteryx,Tiny,Beast,
Archdruid,Medium,Humanoid,"forest, mountain, swamp, aquatic"
Archfey (A5E),Medium,Fey,"Feywild, Forest, Swamp"
Archmage,Medium,Humanoid,"ruins, urban"
Archon of the Triumvirate,Medium,Celestial,
"Archon, siege",H,Celestial,"planar, urban"
"Archon, ursan",L,Celestial,"any, planar"
"Archon, word",T,Celestial,planar
Archpriest (A5E),Medium,Humanoid,"Settlement, Temple"
arclight Pheonix,Medium,Elemental,
Arenea,Large,Monstrosity,"cave, dungeon, forest"
Aridni,Small,Fey,
Armed Skeleton,Medium,Undead,
Armory Golem,Large,Construct,
Armour Sliver,Large,Monstrosity,
Artificer of Yothri,Medium,Aberration,
Asanbosam,Large,Aberration,forests
Ascetic Grandmaster (A5E),Medium,Humanoid,"Desert, Mountains, Settlement, Temple"
Ascomoid,Large,Plant,underground
Ash Drake,Small,Dragon,"mountains,urban"
Ash Phoenix,Large,Undead,
Ashari Firetamer,Medium,Humanoid,
Ashari Skydancer,Medium,Humanoid,
Ashari Stoneguard,Medium,Humanoid,
Ashari Waverider,Medium,Humanoid,
Ashen Custodian,Medium,Fey,
Asp vine,M,Plant,"badlands, forest"
Aspect of Desire,Medium,Celestial,
Aspect of Poison,Large,Fey,
Aspect of War,Medium,Fiend,
Assassin,Medium,Humanoid,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"
Assassin Bug,Medium,Beast,forest
Astral Devourer,Medium Swarm,Aberration,
Astral Moth,Large,Monstrosity,forest
Astral Shark,Large,Fiend,planar
Astral Snapper,Medium,Aberration,
Astralsupial,M,Beast,"forest, swamp"
Astri,Small,Celestial,
"Asura, Aghasura",Huge,Fiend,
"Asura, Tripurasura",Tiny,Fiend,
"Asura, Upasunda",Medium,Fiend,
"Aswang, Balbal",Large,Aswang,
"Aswang, Berbalang",Medium,Aswang,
"Aswang, Boroka",Medium,Aswang,
"Aswang, Gabunan",Medium,Aswang,
"Aswang, Malakat",Medium,Aswang,
"Aswang, Manananggal",Medium,Aswang,
"Aswang, Mangkukulam",Medium,Aswang,
"Aswang, Wakwak",Small,"Monstrosity, Aswang",
Atavist,M,Humanoid,"any, urban"
Attercroppe,Tiny,Fey,
Atuikakura,Gargantuan,Monstrosity,"aquatic, coastal"
August Rooster,Medium,Monstrosity,
Aural hunter,L,Aberration,"mountains, planar, underground"
Aurelia,Medium,Celestial,
Aurochs,Large,Beast,"grassland, mountain"
Aurora Horribilis,Large,Aberration,
Automata Devil,Large,Fiend,
Avalanche Screamer,Large,Aberration,
Avatar Of Boreas,Medium,Elemental,
Avatar of Shoth,Gargantuan,Aberration,
Avestruzii,M,Humanoid,"grassland, planar"
Avestruzii champion,M,Humanoid,"grassland, planar"
Aviere,Tiny,Celestial,
Avulzor,Large,Aberration,
Awakened Shrub,Small,Plant,"forest, grassland"
Awakened Shrub (A5E),Small,Plant,"Forest, Jungle, Laboratory, Swamp"
Awakened Tree,Huge,Plant,forest
Awakened Tree (A5E),Huge,Plant,"Forest, Jungle, Swamp"
Axe Beak,Large,Beast,grassland
Axe Beak (A5E),Large,Beast,"Forest, Grassland, Swamp"
Azbara Jos,Medium,Humanoid,
Azeban,Medium,Fey,
Azer,Medium,Elemental,"planar, underground"
Azer (A5E),Medium,Elemental,"Caverns, Plane of Fire"
Azer Artisan,Medium,Elemental,"planar, underground"
Azer Forgemaster (A5E),Medium,Elemental,"Caverns, Plane of Fire"
Azer Lord,Medium,Elemental,"planar, underground"
Azi Dahaka,Huge,Dragon,
Aziza,T,Fey,forest
Azure Enchanter,Medium,Humanoid,
Azure Mind Scupltor,Medium,Humanoid,
Baba Lysaga,Medium,Humanoid,
Baba Lysaga's Creeping Hut,Gargantuan,Construct,
baba Yaga,medium,Fey,
Baba Yaga's Horsemen - Black Night,Medium,Fey,
Baba Yaga's Horsemen - Bright Day,Medium,Fey,
Baba Yaga's Horsemen - Red Sun,Medium,Fey,
"Baba Yaga's Horsemen, Black Night",Medium,Fey,
"Baba Yaga's Horsemen, Bright Day",Medium,Fey,
Babau,Medium,Fiend,"underground, urban"
Baboon,Small,Beast,"forest, grassland"
Baboon (A5E),Small,Beast,"Grassland, Jungle"
Backup Holler Spider,Tiny,Beast,
Badger,Tiny,Beast,forest
Badger (A5E),Tiny,Beast,"Forest, Grassland"
Bakekujira,Gargantuan,Undead,"coastal, aquatic"
Baleful miasma,M,Elemental,any
Baliri Demon,Medium,Fiend,
Balloon Spider,Medium,Beast,
Balor (A5E),Huge,Fiend,Abyss
Balor General (A5E),Huge,Fiend,Abyss
Balor General Balor Variant (A5E),Huge,Fiend,
Banderhobb,Large,Monstrosity,urban
Bandit,Medium,Humanoid,"arctic, coast, desert, forest, grassland, mountain, ruins, urban"
Bandit (A5E),Medium,Humanoid,"Caverns, Desert, Forest, Grassland, Hills, Jungle, Laboratory, Mountains, Ruin, Settlement, Sewer, Swamp, Tundra"
Bandit Captain,Medium,Humanoid,"arctic, coast, desert, forest, grassland, mountain, ruins, urban"
Bandit Captain (A5E),Medium,Humanoid,"Caverns, Desert, Forest, Grassland, Hills, Jungle, Laboratory, Mountains, Ruin, Settlement, Sewer, Swamp, Tundra"
Bandit Lord,Medium,Humanoid,
Baneling,Small,Fiend,
Bangungot,Large,Fey,
Bannik,M,Fey,urban
Banshee (A5E),Medium,Undead,"Ethereal Plane, Forest, Ruin, Shadowfell, Swamp, Tomb"
Baphomet,Huge,Fiend,
Bar Brawl,Huge Swarm,Humanoid,
Barbed Devil,Medium,Fiend,"dungeon, planar"
Barbed Devil (A5E),Medium,Fiend,Hell
Bard,Medium,Humanoid,urban
Barghest,Large,Fiend,"forest, grassland, mountain, underground"
Barlgura,Large,Fiend,"dungeon, planar"
Barometz,Large,Plant,
Barong,Large,Celestial,
Barovian Witch,Medium,Humanoid,
Basilisk,Medium,Monstrosity,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground"
Bastet Temple Cat,Small,Monstrosity,urban
Bastian Thermandar,Medium,Humanoid,
Bat,Tiny,Beast,"cave, forest, mountain, underground, urban"
Bat (A5E),Tiny,Beast,"Caverns, Forest"
Bat King,Small,Fey,
"Bat, Giant Albino",Huge,Monstrosity,
"Bat, Giant Vampire",Large,Monstrosity,
Bathhouse Drake,Medium,Dragon,
Battle Mage,Medium,Humanoid,
Battleforce Angel,Medium,Celestial,
Beach weird,L,Elemental,coastal
Bear King,Medium,Fey,"forests, hills"
Bearded Devil,Medium,Fiend,"dungeon, planar"
Bearded Devil (A5E),Medium,Fiend,Hell
Bearfolk,Medium,Humanoid,forests
Bearfolk Chieftain,Medium,Humanoid,
Bearfolk thunderstomper,M,Humanoid,any
Bearing Golem,Medium,Construct,
Bearmit crab,Large,Monstrosity,
Beast of Ill Omen,Large,Monstrosity,
Beastman Cursemaker,Medium,Humanoid,
Beastman Hunter,Medium,Humanoid,
Beastman Warchief,Medium,Humanoid,
Beastman Warrior,Medium,Humanoid,
"Beetle, clacker soldier",S,Beast,underground
"Beetle, clacker swarm",M,Swarm,underground
"Beetle, Giant Bombardier",Medium,Beast,
Befouled Weird,Medium,Elemental,
Beggar Ghoul,Medium,Undead,
Behir,Huge,Monstrosity,"cave, mountain, underground"
Behir Magus (A5E),Huge,Monstrosity,"Caverns, Plane of Earth, Ruin"
Beholder,Large,Aberration,"cave, dungeon, underground"
Beholder (in lair),Large,Aberration,"cave, dungeon, underground"
Beholder Zombie,Large,Undead,"cave, dungeon, underground"
Behtu,Small,Humanoid,forests
Belashyrra,Medium,Aberration,
Beli,Small,Fey,
Belu,H,Giant,"forest, swamp"
Berberoka,L,Giant,swamp
Bereginyas,Tiny,Fey,mountains
Berserker,Medium,Humanoid,"arctic, cave, desert, forest, grassland, mountain, swamp, urban"
Berserker (A5E),Medium,Humanoid,"Desert, Forest, Grassland, Hills, Jungle, Mountains, Swamp, Tundra"
Berstuc,Large,Fiend,
Bewailer,Medium,Undead,"dungeon, forest, ruins, swamp"
Bheur Hag,Medium,Fey,arctic
Bhuta,Medium,Undead,
Biclops,Huge,Giant,mountain
Bilwis,Medium,Elemental,
Binturong,Small,Beast,
Biomancer,Medium,Humanoid,
Birgemon seal,M,Aberration,"arctic, underwater"
Black Bear (A5E),Medium,Beast,"Forest, Mountains"
Black Circle Agent,Medium,Humanoid,
Black Circle Wizard,Medium,Humanoid,
Black Crier,Medium,Undead,
Black Dracolisk,Large,Dragon,
Black Dragon Wyrmling,Medium,Dragon,swamp
Black Dragon Wyrmling (A5E),Medium,Dragon,Swamp
Black Earth Priest,Medium,Humanoid,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground"
Black Great Wyrm (A5E),Gargantuan,Dragon,"lake, swamps"
Black Knight Commander,Medium,Humanoid,
Black patch,L,Ooze,swamp
Black Pudding,Large,Ooze,dungeon
Black shuck,L,Fiend,farmland
Black Sun Orc,Medium,Humanoid,
Black Sun Priestess,Medium,Humanoid,
Blackguard,Medium,Humanoid,"underground, urban"
Blackguard (A5E),Medium,Humanoid,"Grassland, Hills, Mountains, Settlement, Temple"
Blagothkus,Huge,Giant,
Blaspheming hand,L,Fiend,any
Bleakheart,Medium,Undead,
Blemmyes,Large,Monstrosity,"hills,mountains"
Blestsessebe,L,Celestial,"grassland, planar"
Blink Dog,Medium,Fey,"forest, grassland"
Blink Dog (A5E),Medium,Fey,"Feywild, Forest, Grassland, Jungle"
Blistercoil Weird,Medium,Elemental,
Bloated Ghoul,Medium,Undead,
Blood barnacle,T,Beast,"coastal, underwater"
Blood drinker vampire,Medium,Undead,
Blood Elemental,Large,Elemental,
Blood flurry,M,Swarm,arctic
Blood giant,Huge,Giant,
Blood Hag,Medium,Fey,
Blood Hawk,Small,Monstrosity,"forest, grassland, mountain"
Blood Hunter,Medium,Humanoid,
Blood Imp,Tiny,Fiend,
Blood Mage,Medium,Humanoid,
Blood Ooze,Large,Ooze,
Blood Orchid,Large,Aberration,underground
Blood Orchid Grand Savant,Huge,Aberration,underground
Blood Orchid Savant,Large,Aberration,underground
Blood Witch,Medium,Humanoid,
Blood Zombie,Medium,Undead,
Bloodfray Giant,Huge,Giant,
Bloodhawk (A5E),Small,Beast,"Desert, Forest, Grassland, Hills, Jungle, Mountains, Swamp, Tundra"
Bloodsapper,Medium,Aberration,
Bloodstone Sentinel,Large,Construct,
Bloodsuckle,Large,Plant,"forest, grassland"
Bloody Bones,Medium,Monstrosity,"cave, ruins"
Bloom Hydra,Medium,Plant,
Blue Dracolisk,Large,Dragon,
Blue Dragon Wyrmling,Medium,Dragon,desert
Blue Dragon Wyrmling (A5E),Medium,Dragon,Desert
Blue Great Wyrm (A5E),Gargantuan,Dragon,"caves, coastal, desert, oasis"
Blue Slaad,Large,Aberration,planar
Boalisk,Large,Monstrosity,"aquatic, forest"
Boar,Medium,Beast,"forest, grassland"
Boar (A5E),Medium,Beast,Forest
Boar Spirit,Large,Fey,
Bodak,Medium,Undead,"swamp, underground, urban"
Boggard (A5E),Medium,Humanoid,"Jungle, Plane of Water, Sewer, Swamp"
Boggard Bravo (A5E),Medium,Humanoid,"Jungle, Plane of Water, Sewer, Swamp"
Boloti,Tiny,Fey,marshes
Bolt-Thrower (A5E),Small,Construct,"Laboratory, Ruin, Sewer"
Bone Cobbler,Medium,Aberration,underground
Bone Collective,Small,Undead,
Bone collector,S,Undead,"any, badlands"
Bone Colossus,Gargantuan,Undead,
Bone Crab,Small,Beast,aquatic
Bone Devil,Large,Fiend,"dungeon, planar"
Bone Devil (A5E),Large,Fiend,Hell
Bone Golem,Large,Construct,
Bone Knight,Medium,Humanoid,
Bone lord,H,Undead,any
Bone Naga,Large,Undead,"dungeon, ruins"
Bone Swarm,Large,Undead,
Bonepowder Ghoul,Small,Undead,
Boneshard Wraith,Medium,Undead,
Bonespitter,Gargantuan,Monstrosity,
Bonesucker,Large,Aberration,underground
Bookkeeper,Tiny,Construct,
Boomer,Medium,Plant,
Boot Grabber,Small,Aberration,
Borborygmos,Huge,Giant,
Boreal Dragon Wyrmling,Medium,Dragon,
Boreas,Medium,Elemental,
Boreas' Chosen,Medium,Humanoid,
Boreas’ Chosen,Medium,Humanoid,
Borsin (Ape Centaur),Large,Monstrosity,
Bouda,Medium,Fiend,
Brachyura shambler,Medium,Monstrosity,
Brain coral,H,Aberration,underwater
Brain Hood,Tiny,Aberration,
Bramble Blight,Medium,Plant,"forest, grassland, swamp"
Branch Blight,Large,Plant,"forest, grassland, swamp"
Brass Dragon Wyrmling,Medium,Dragon,"cave, underground"
Brass Dragon Wyrmling (A5E),Medium,Dragon,Desert
Brass Man,Large,Construct,planar
Breathstealer,M,Humanoid,"any, urban"
Bridesmaid of Zuggtmoy,Medium,Plant,
Brimstone Locusthound,Medium,Monstrosity,
Brine Sea Serpent,Huge,Dragon,aquatic
Bristled moorbounder,Large,Beast,
Brontosaurus,Gargantuan,Beast,"forest, grassland"
Brontotherium,Huge,Beast,
Bronze Dragon Wyrmling,Medium,Dragon,coast
Bronze Dragon Wyrmling (A5E),Medium,Dragon,Water
Bronze Golem,Large,Construct,
Bronze Lion,Medium,Humanoid,
Brood Butcher,Huge,Aberration,
Brood Monitor,Huge,Aberration,
